GALAXY ID,ra,dec,plate,mjd,fiberid,objid,deVRad_r,deVRadErr_r,expRad_r,expRadErr_r,z,zErr,SNR,velDisp_SDSS,velDispErr_SDSS,velDisp_ppxf_full,velDisp_ppxf_err_full,velDisp_ppxf_res,velDisp_ppxf_err_res,logM*,errlogM*,logSFR,errlogSFR,logsSFR,errlogsSFR,petroR50Errkpc_r,petroR50kpc_r,deVRadkpc_r,deVRadErrkpc_r,expRadkpc_r,expRadErrkpc_r,fracDev_r,meanRad_r,meanRadErr_r,meanRadkpc_r,meanRadErrkpc_r,meanRad_kids,meanRadkpc_kids,Mgb_ssp,Fe_avg_ssp,Mgb_sigmacorr,Fe_avg_sigmacorr,MgFe,alphaFe_flag,univ_age,age_mean_mass,age_err_mass,age_mean_light,age_err_light,[M/H]_mean_mass,[M/H]_err_mass,[M/H]_mean_light,[M/H]_err_light,Mtbb3,Mtbb3_unr,Mtbb3_reg,Mtbb3_alphaplus,Mtbb3_alphamin,t_75,t_75_unr,t_75_reg,t_75_alphaplus,t_75_alphamin,t_90,t_90_unr,t_90_reg,t_90_alphaplus,t_90_alphamin,t_100,t_100_unr,t_100_reg,t_100_alphaplus,t_100_alphamin,DoR
J2350+0609,357.70492,6.15819457,4405,55854,591,1.24E+18,0.9601405,0.01763593,0.9244786,0.008167007,0.05517982,1.38E-05,34.77204544,239.7347,6.612304,272.5609683,13.62804842,255.4430645,12.77215323,10.564,0.028,-1.549,0.783,-12.113,0.783500479,11.59376078,6.439735069,1.064547125,0.019553678,1.025007315,0.009055095,0.9959431,0.959993079,0.01756172,1.064383674,0.019471398,0.492420744,0.545967062,4.403193516,2.192902552,4.916440792,2.893391719,0.4,1,12.97474611,11.65166123,0.482802707,11.03528614,0.144156748,0.234227153,0.001209229,0.225849112,0.019007358,0.97117,0.99889,0.97117,,0.99837,0.99123,0.94623,0.97233,,0.99123,1.41404,1.35128,1.39994,,1.41404,10.84242,2.3842,10.84242,,2.45802,0.564629699
J1647+2956,251.9555515,29.94959628,1342,52793,503,1.24E+18,0.4098055,0.01689052,0.5481073,0.01545708,0.1043092,2.72E-05,19.2359607,236.409,10.64699,263.3656398,26.33656398,247.8065588,24.78065588,10.572,0.023,-1.089,0.61,-11.661,0.610433453,0.02599666,1.800497289,0.810913156,0.03342255,1.084581394,0.030586094,0,0.5481073,0.01545708,1.084581394,0.030586094,0.286222205,0.566369538,4.321233755,1.963948126,4.776734196,2.549941404,0.4,1,12.35779044,11.13709777,0.133259899,10.71840064,0.541803687,0.167040127,0.009605878,0.14386499,0.011613638,0.97278,0.98917,0.97278,,0.99004,1.17175,1.17175,0.42634,,1.15209,1.74192,1.74192,0.78766,,1.68151,10.73174,4.52743,7.34051,,10.73174,0.529239205
J1437+1800,219.3350999,18.00774275,2775,54535,128,1.24E+18,0.3130011,0.01072421,0.4187675,0.01004117,0.113869,2.84E-05,17.70653308,209.6292,11.18867,202.7961929,20.27961929,207.2667883,20.72667883,10.579,0.025,-1.621,0.83,-12.2,0.830376421,0.041516093,1.489885768,0.668733205,0.022912492,0.894705265,0.021453164,0.4365676,0.368789877,0.007433265,0.787927059,0.015881322,0.171637864,0.36670778,4.89690225,1.869112651,5.117852852,2.193543682,0.4,1,12.24255115,10.45558972,0.481841919,10.20850942,0.819745412,0.143006458,0.028212366,0.117679651,0.033861092,0.82602,0.97907,0.92922,,0.82602,1.71939,1.22036,1.54502,,1.71939,5.20643,1.91359,2.48573,,5.20643,10.5935,4.74365,10.5935,,9.95189,0.436232253
J0921+6020,140.3406738,60.3343248,485,51909,432,1.24E+18,1.00887,0.01716284,0.7979322,0.007560016,0.05781955,2.00E-05,29.91853077,260.1188,8.826856,281.6913161,28.16913161,265.2179445,26.52179445,10.603,0.014,-1.062,0.152,-11.665,0.152643375,0.00866373,1.293897699,1.168417362,0.019877051,0.924120884,0.008755592,1,1.00887,0.01716284,1.168417362,0.019877051,0.513632952,0.59486124,3.922050141,1.704636367,4.424379766,2.285653121,0.4,1,12.94051092,11.26895395,0.776993004,11.1303198,0.688821652,0.109111619,0.029413279,0.067046761,0.04185149,0.8728,0.97125,0.8728,,0.97637,1.24682,1.14077,1.24682,,0.99775,3.10466,1.72799,3.10466,,1.56114,11.23258,4.59661,10.91191,,11.23258,0.486632385
J0807+5317,121.8080087,53.29427742,1781,53297,341,1.24E+18,0.7266138,0.01370927,0.8186942,0.01110354,0.08315293,2.39E-05,21.29857637,228.2801,9.625464,263.5662527,26.35662527,257.0522402,25.70522402,10.652,0.03,-1.833,0.743,-12.485,0.743605406,0.015687269,1.774864765,1.174671439,0.022162926,1.323532108,0.017950404,0.5374284,0.767844381,0.009155553,1.24132636,0.014801215,0.403271668,0.65194428,5.917170209,1.842559307,6.542307897,2.393169592,0.4,1,12.61830374,11.61198378,0.411444322,11.09646244,0.285904618,0.222757547,0.005072938,0.20765902,0.022376025,0.95178,1,0.95178,,0.9985,0.88714,0.71451,0.80457,,0.88714,2.75532,1.11047,2.75532,,1.38459,3.59529,2.05288,3.59529,,2.58137,0.7619791
J1346+6021,206.6492166,60.36175994,787,52320,352,1.24E+18,0.7521591,0.01050602,0.8780991,0.009848879,0.07141962,1.58E-05,23.60100711,210.6564,7.790779,217.654385,21.7654385,214.4935257,21.44935257,10.677,0.043,-1.615,0.864,-12.292,0.865069361,0.009316645,1.57454531,1.058853503,0.014789871,1.236145794,0.013864779,0.5580882,0.80541763,0.007440141,1.133828307,0.010473874,0.421513377,0.593386314,5.356114372,2.259621429,5.665177408,2.715619111,0.4,1,12.76612008,11.63786164,0.31929258,11.10594836,0.253416958,0.218291795,0.016375768,0.201160484,0.020314981,0.9775,0.99909,0.9775,,0.99852,1.05273,0.91696,0.86401,,1.05273,1.56269,1.3452,1.23144,,1.56269,10.06883,2.51363,10.06883,,2.73901,0.572857753
J1558+2707,239.7387863,27.12821166,1392,52822,191,1.24E+18,0.4260013,0.01374917,0.5695722,0.01359439,0.08950952,2.74E-05,18.1122926,217.0086,10.79855,242.0997323,24.20997323,238.4262454,23.84262454,10.692,0.02,-0.466,0.122,-11.158,0.123628476,0.024269976,1.630507262,0.735863839,0.023749967,0.983864569,0.023482604,0,0.5695722,0.01359439,0.983864569,0.023482604,0.298585852,0.515769626,3.957532863,1.760201485,4.280245444,2.203250296,0.4,1,12.53922545,11.21805879,0.639393841,11.16537254,0.607313642,0.154424567,0.026172994,0.112598173,0.041223747,0.98526,0.98584,0.99003,,0.98526,2.08444,1.00455,2.08444,,0.95403,2.57765,1.63513,2.57765,,1.50419,10.45509,4.38346,10.45509,,6.33059,0.482388888
J1317+4336,199.4989467,43.61413941,1376,53089,237,1.24E+18,0.6432661,0.02450492,0.7426673,0.01232111,0.1133481,4.02E-05,14.8403482,286.9424,15.69608,304.6991538,30.46991538,302.1612484,30.21612484,10.718,0.032,-1.738,0.695,-12.456,0.695736301,0.01993873,2.42862495,1.368881203,0.052146887,1.580408648,0.026219532,0.9876366,0.644409873,0.024245349,1.371315172,0.051594515,0.339964574,0.723450397,4.547556644,2.126106631,5.269659961,2.969932192,0.4,1,12.24879131,11.53682111,0.208958465,11.39430377,0.478891522,0.218371102,0.005207407,0.223519034,0.008079847,0.99888,1,0.99987,,0.99888,1.02751,0.87857,0.24503,,1.02751,1.5397,1.31512,0.56881,,1.5397,2.70548,2.23354,2.70498,,2.70548,0.773921487
J0908+0553,137.2345538,5.88930011,1193,52652,394,1.24E+18,0.5653356,0.02886449,0.5969605,0.01023313,0.1269458,2.77E-05,17.7501971,202.5645,9.908498,220.8017381,22.08017381,214.6021823,21.46021823,10.728,0.028,-1.565,0.812,-12.293,0.812482615,0.051301282,2.010624006,1.326606988,0.067732926,1.400817445,0.02401289,0.4107185,0.583762931,0.013587864,1.369848252,0.031885053,0.306632066,0.719537636,3.952718555,2.145067317,4.192071388,2.591222033,0.4,1,12.08735331,10.79525738,0.634275836,10.37872299,0.353929384,0.165088759,0.018681495,0.141175617,0.008165689,0.95751,0.9874,0.95751,,0.99717,0.94932,0.94932,0.56248,,0.88234,1.52858,1.52858,1.03738,,1.39491,10.80966,4.48428,10.80966,,10.36072,0.549273176
J1513+1247,228.4095427,12.78473341,2752,54533,70,1.24E+18,0.5865527,0.01796347,0.6219056,0.01090926,0.1210112,2.76E-05,14.43761197,220.9841,12.22193,299.7551327,29.97551327,275.9444538,27.59444538,10.759,0.073,-1.049,0.914,-11.808,0.916910574,0.015743267,1.995212104,1.320950381,0.040454767,1.400567143,0.02456828,0,0.6219056,0.01090926,1.400567143,0.02456828,0.327786811,0.738194732,4.847313933,1.72357102,5.584134701,2.38645965,0.4,1,12.15744045,10.91592677,0.528401054,10.19711465,0.055057717,0.210444685,0.009060818,0.197965457,0.02066252,0.99115,0.99769,0.99115,,0.99765,0.93131,0.93131,0.35473,,0.90683,1.52856,1.45507,1.52856,,1.4065,11.23264,11.22511,10.75184,,11.23264,0.553891583
J0943+0553,145.8313591,5.89552094,993,52710,495,1.24E+18,0.5821983,0.01415136,0.7315502,0.01688475,0.09154072,1.89E-05,29.03699251,239.331,8.388958,250.1456039,25.01456039,240.0352655,24.00352655,10.764,0.019,-0.491,0.381,-11.255,0.381473459,0.052789939,1.919732828,1.026069975,0.024940447,1.28928871,0.02975779,0,0.7315502,0.01688475,1.28928871,0.02975779,0.385222085,0.678917844,4.739940163,1.959492442,5.167665118,2.486632288,0.4,1,12.51410338,11.34514089,0.695386229,10.54824313,0.132002317,0.213253973,0.02026327,0.19624881,0.010395281,0.96626,0.99775,0.96626,,0.998,0.77427,0.64163,0.01335,,0.77427,1.70584,1.04717,1.70584,,1.26633,11.5689,11.5689,11.2978,,11.51416,0.581165834
J1427+2107,216.9064433,21.12223643,2788,54553,355,1.24E+18,0.4562062,0.01776935,0.5881065,0.008831287,0.09749976,1.88E-05,26.85994425,212.1314,7.40971,256.7954871,25.67954871,235.7050251,23.57050251,10.791,0.024,-0.244,0.129,-11.035,0.131213566,0.030482635,1.730518729,0.850462231,0.033125725,1.096351532,0.016463336,0,0.5881065,0.008831287,1.096351532,0.016463336,0.309075295,0.576179948,3.874115783,1.97600994,4.252759398,2.536499235,0.4,1,12.44080833,10.43893898,1.14923464,9.514704392,0.500216493,0.161868672,0.034399834,0.076794678,0.045554549,0.95737,0.98788,0.95737,,0.98358,1.17841,1.01369,1.15816,,1.17841,2.09685,1.49739,2.09685,,1.69489,11.52262,11.52262,11.06561,,11.3198,0.503913845
