SDSS_ID,Cluster
spec-2210-53535-0164.fits,2
spec-0531-52028-0634.fits,0
spec-2513-54141-0237.fits,0
spec-0485-51909-0432.fits,1
spec-1754-53385-0417.fits,1
spec-2499-54176-0538.fits,0
spec-0966-52642-0300.fits,0
spec-1842-53501-0281.fits,2
spec-1417-53141-0568.fits,2
spec-1290-52734-0438.fits,2
spec-1432-53003-0552.fits,2
spec-0342-51691-0196.fits,1
spec-2598-54232-0062.fits,1
spec-1435-52996-0462.fits,0
spec-4294-55500-0385.fits,2
spec-1728-53228-0563.fits,1
spec-1327-52781-0328.fits,2
spec-1646-53498-0537.fits,2
spec-1000-52643-0125.fits,1
spec-1771-53498-0038.fits,0
spec-1736-53052-0289.fits,0
spec-1232-52731-0352.fits,2
spec-0432-51884-0113.fits,2
spec-5121-55856-0822.fits,0
spec-2775-54535-0128.fits,0
spec-0451-51908-0415.fits,2
spec-2202-53566-0363.fits,2
spec-1232-52731-0542.fits,2
spec-0838-52378-0456.fits,2
spec-2768-54265-0105.fits,0
spec-2654-54231-0046.fits,2
spec-5000-55715-0244.fits,1
spec-2956-54525-0216.fits,0
spec-0746-52238-0040.fits,0
spec-1005-52703-0338.fits,2
spec-0948-52428-0182.fits,0
spec-2420-54086-0570.fits,0
spec-2748-54234-0312.fits,2
spec-2161-53878-0222.fits,2
spec-1177-52824-0027.fits,2
spec-4006-55328-0416.fits,2
spec-2167-53889-0427.fits,0
spec-1984-53433-0627.fits,1
spec-2115-53535-0288.fits,1
spec-0765-52254-0564.fits,0
spec-1435-52996-0109.fits,2
spec-0663-52145-0552.fits,1
spec-0877-52353-0159.fits,2
spec-2220-53795-0066.fits,2
spec-2089-53498-0348.fits,0
spec-0762-52232-0048.fits,2
spec-1299-52972-0034.fits,0
spec-4842-55867-0080.fits,1
spec-1753-53383-0442.fits,2
spec-0792-52353-0578.fits,2
spec-2109-53468-0099.fits,1
spec-0488-51914-0449.fits,1
spec-2032-53815-0008.fits,0
spec-1695-53473-0034.fits,0
spec-1810-53794-0035.fits,2
spec-0589-52055-0565.fits,2
spec-0395-51783-0259.fits,2
spec-2144-53770-0079.fits,2
spec-1439-53003-0120.fits,2
spec-1618-53116-0219.fits,1
spec-4384-56105-0350.fits,0
spec-0998-52750-0241.fits,2
spec-1046-52460-0523.fits,0
spec-2289-53708-0448.fits,1
spec-1216-52709-0495.fits,1
spec-2150-54510-0524.fits,1
spec-0883-52430-0394.fits,2
spec-5000-55715-0544.fits,0
spec-1979-53431-0532.fits,2
spec-5155-55946-0815.fits,2
spec-1395-52825-0314.fits,2
spec-1446-53080-0489.fits,2
spec-1992-53466-0030.fits,2
spec-1299-52972-0571.fits,2
spec-4662-55590-0362.fits,0
spec-2297-53738-0281.fits,2
spec-2141-53764-0370.fits,0
spec-2762-54533-0273.fits,0
spec-4055-55359-0272.fits,2
spec-1765-53466-0199.fits,1
spec-2119-53792-0446.fits,2
spec-0274-51913-0100.fits,2
spec-1956-53437-0360.fits,2
spec-0944-52614-0323.fits,1
spec-1656-53533-0580.fits,0
spec-1061-52641-0606.fits,2
spec-1624-53386-0553.fits,1
spec-2582-54139-0594.fits,2
spec-0971-52644-0524.fits,2
spec-1978-53473-0259.fits,2
spec-0999-52636-0278.fits,0
spec-0687-52518-0540.fits,0
spec-0572-52289-0397.fits,0
spec-1453-53084-0422.fits,0
spec-2510-53877-0501.fits,0
spec-1523-52937-0181.fits,0
spec-1929-53349-0233.fits,0
spec-1463-53063-0121.fits,1
spec-1849-53846-0092.fits,2
spec-2523-54572-0336.fits,0
spec-2653-54230-0264.fits,0
spec-1342-52793-0503.fits,0
spec-5948-56107-0834.fits,0
spec-0307-51663-0513.fits,0
spec-2947-54533-0414.fits,2
spec-2485-54176-0466.fits,2
spec-1941-53386-0112.fits,2
spec-0530-52026-0043.fits,1
spec-1108-53227-0440.fits,0
spec-1778-53883-0110.fits,2
spec-2435-53828-0041.fits,1
spec-1604-53078-0160.fits,1
spec-1796-53884-0602.fits,0
spec-0787-52320-0352.fits,2
spec-1694-53472-0410.fits,0
spec-0832-52312-0235.fits,2
spec-0778-54525-0175.fits,1
spec-0861-52318-0038.fits,1
spec-0595-52023-0076.fits,1
spec-2092-53460-0077.fits,1
spec-2005-53472-0390.fits,2
spec-2284-53708-0425.fits,1
spec-1400-53470-0324.fits,2
spec-2364-53737-0520.fits,2
spec-2571-54055-0057.fits,2
spec-0496-51988-0284.fits,2
spec-1816-53919-0602.fits,2
spec-1820-54208-0086.fits,2
spec-4323-55884-0684.fits,2
spec-2570-54081-0192.fits,2
spec-1822-53172-0021.fits,1
spec-1570-53149-0414.fits,2
spec-0530-52026-0029.fits,2
spec-2166-54232-0040.fits,2
spec-5881-56038-0746.fits,0
spec-0556-51991-0426.fits,0
spec-0423-51821-0071.fits,0
spec-0448-51900-0066.fits,2
spec-1191-52674-0619.fits,2
spec-1786-54450-0171.fits,0
spec-4878-55710-0410.fits,2
spec-0684-52523-0467.fits,1
spec-0932-52620-0027.fits,0
spec-0284-51943-0538.fits,1
spec-5115-55885-0186.fits,2
spec-2423-54149-0111.fits,0
spec-2111-53467-0557.fits,0
spec-2159-54328-0289.fits,0
spec-1787-54465-0420.fits,2
spec-0627-52144-0225.fits,2
spec-0752-52251-0269.fits,0
spec-2583-54095-0161.fits,0
spec-0551-51993-0415.fits,2
spec-1787-54465-0367.fits,0
spec-2743-54259-0142.fits,1
spec-1435-52996-0212.fits,0
spec-2269-53711-0456.fits,0
spec-2291-53714-0235.fits,1
spec-1691-53260-0361.fits,0
spec-2881-54502-0440.fits,2
spec-0745-52258-0449.fits,2
spec-2514-53882-0507.fits,2
spec-2438-54056-0415.fits,2
spec-5948-56107-0226.fits,2
spec-0430-51877-0159.fits,0
spec-1706-53442-0131.fits,0
spec-2239-53726-0317.fits,2
spec-0278-51900-0577.fits,0
spec-0311-51665-0172.fits,2
spec-0350-51691-0203.fits,2
spec-0422-51811-0315.fits,1
spec-0815-52374-0119.fits,2
spec-1396-53112-0464.fits,0
spec-2972-54586-0474.fits,0
spec-0376-52143-0100.fits,2
spec-4452-55536-0881.fits,2
spec-5002-55710-0082.fits,2
spec-2268-53682-0526.fits,1
spec-2437-53848-0399.fits,0
spec-0524-52027-0220.fits,0
spec-0538-52029-0413.fits,1
spec-0744-52251-0137.fits,0
spec-2148-54526-0618.fits,2
spec-5477-56030-0306.fits,2
spec-2148-54526-0374.fits,0
spec-5123-55841-0560.fits,0
spec-2589-54174-0629.fits,0
spec-0655-52162-0397.fits,0
spec-2529-54585-0603.fits,1
spec-4494-55569-0432.fits,2
spec-1695-53473-0566.fits,1
spec-2617-54502-0310.fits,0
spec-0702-52178-0554.fits,1
spec-0584-52049-0117.fits,1
spec-0514-51994-0499.fits,2
spec-2617-54502-0190.fits,0
spec-1803-54152-0504.fits,1
spec-2484-54144-0211.fits,1
spec-1105-52937-0634.fits,0
spec-0963-52643-0531.fits,0
spec-1451-53117-0021.fits,2
spec-4984-55827-0162.fits,2
spec-1626-53472-0570.fits,2
spec-2027-53433-0085.fits,2
spec-2886-54498-0465.fits,2
spec-1391-52817-0132.fits,2
spec-1869-53327-0417.fits,2
spec-1621-53383-0491.fits,0
spec-4501-55590-0726.fits,1
spec-2143-54184-0527.fits,0
spec-4093-55475-0810.fits,0
spec-0993-52710-0495.fits,2
spec-0725-52258-0057.fits,1
spec-2953-54560-0125.fits,0
spec-1437-53046-0336.fits,1
spec-1035-52816-0156.fits,1
spec-0415-51810-0186.fits,1
